date,spot,strike,expiry,dte,call_price,call_delta,iv,vix
2021-01-01,14000.0,12500,2021-01-28,27,1560.25,0.9982,0.15,15.0
2021-01-01,14000.0,12550,2021-01-28,27,1510.61,0.9976,0.15,15.0
2021-01-01,14000.0,12600,2021-01-28,27,1461.01,0.9967,0.15,15.0
2021-01-01,14000.0,12650,2021-01-28,27,1411.46,0.9957,0.15,15.0
2021-01-01,14000.0,12700,2021-01-28,27,1361.98,0.9942,0.15,15.0
2021-01-01,14000.0,12750,2021-01-28,27,1312.59,0.9925,0.15,15.0
2021-01-01,14000.0,12800,2021-01-28,27,1263.31,0.9902,0.15,15.0
2021-01-01,14000.0,12850,2021-01-28,27,1214.17,0.9874,0.15,15.0
2021-01-01,14000.0,12900,2021-01-28,27,1165.19,0.984,0.15,15.0
2021-01-01,14000.0,12950,2021-01-28,27,1116.42,0.9798,0.15,15.0
2021-01-01,14000.0,13000,2021-01-28,27,1067.9,0.9747,0.15,15.0
2021-01-01,14000.0,13050,2021-01-28,27,1019.69,0.9686,0.15,15.0
2021-01-01,14000.0,13100,2021-01-28,27,971.83,0.9614,0.15,15.0
2021-01-01,14000.0,13150,2021-01-28,27,924.38,0.9529,0.15,15.0
2021-01-01,14000.0,13200,2021-01-28,27,877.43,0.943,0.15,15.0
2021-01-01,14000.0,13250,2021-01-28,27,831.04,0.9316,0.15,15.0
2021-01-01,14000.0,13300,2021-01-28,27,785.3,0.9186,0.15,15.0
2021-01-01,14000.0,13350,2021-01-28,27,740.28,0.9038,0.15,15.0
2021-01-01,14000.0,13400,2021-01-28,27,696.09,0.8872,0.15,15.0
2021-01-01,14000.0,13450,2021-01-28,27,652.81,0.8688,0.15,15.0
2021-01-01,14000.0,13500,2021-01-28,27,610.55,0.8484,0.15,15.0
2021-01-01,14000.0,13550,2021-01-28,27,569.38,0.8262,0.15,15.0
2021-01-01,14000.0,13600,2021-01-28,27,529.42,0.802,0.15,15.0
2021-01-01,14000.0,13650,2021-01-28,27,490.75,0.776,0.15,15.0
2021-01-01,14000.0,13700,2021-01-28,27,453.45,0.7483,0.15,15.0
2021-01-01,14000.0,13750,2021-01-28,27,417.61,0.719,0.15,15.0
2021-01-01,14000.0,13800,2021-01-28,27,383.3,0.6883,0.15,15.0
2021-01-01,14000.0,13850,2021-01-28,27,350.58,0.6563,0.15,15.0
2021-01-01,14000.0,13900,2021-01-28,27,319.51,0.6232,0.15,15.0
2021-01-01,14000.0,13950,2021-01-28,27,290.12,0.5894,0.15,15.0
2021-01-01,14000.0,14000,2021-01-28,27,262.45,0.555,0.15,15.0
2021-01-01,14000.0,14050,2021-01-28,27,236.5,0.5203,0.15,15.0
2021-01-01,14000.0,14100,2021-01-28,27,212.29,0.4856,0.15,15.0
2021-01-01,14000.0,14150,2021-01-28,27,189.79,0.4511,0.15,15.0
2021-01-01,14000.0,14200,2021-01-28,27,168.99,0.4171,0.15,15.0
2021-01-01,14000.0,14250,2021-01-28,27,149.85,0.3838,0.15,15.0
2021-01-01,14000.0,14300,2021-01-28,27,132.32,0.3514,0.15,15.0
2021-01-01,14000.0,14350,2021-01-28,27,116.35,0.3202,0.15,15.0
2021-01-01,14000.0,14400,2021-01-28,27,101.86,0.2904,0.15,15.0
2021-01-01,14000.0,14450,2021-01-28,27,88.8,0.262,0.15,15.0
2021-01-01,14000.0,14500,2021-01-28,27,77.07,0.2352,0.15,15.0
2021-01-01,14000.0,14550,2021-01-28,27,66.59,0.21,0.15,15.0
2021-01-01,14000.0,14600,2021-01-28,27,57.29,0.1866,0.15,15.0
2021-01-01,14000.0,14650,2021-01-28,27,49.06,0.165,0.15,15.0
2021-01-01,14000.0,14700,2021-01-28,27,41.83,0.1451,0.15,15.0
2021-01-01,14000.0,14750,2021-01-28,27,35.5,0.127,0.15,15.0
2021-01-01,14000.0,14800,2021-01-28,27,29.99,0.1105,0.15,15.0
2021-01-01,14000.0,14850,2021-01-28,27,25.22,0.0957,0.15,15.0
2021-01-01,14000.0,14900,2021-01-28,27,21.11,0.0824,0.15,15.0
2021-01-01,14000.0,14950,2021-01-28,27,17.59,0.0706,0.15,15.0
2021-01-01,14000.0,15000,2021-01-28,27,14.59,0.0602,0.15,15.0
2021-01-01,14000.0,15050,2021-01-28,27,12.05,0.0511,0.15,15.0
2021-01-01,14000.0,15100,2021-01-28,27,9.9,0.0431,0.15,15.0
2021-01-01,14000.0,15150,2021-01-28,27,8.1,0.0362,0.15,15.0
2021-01-01,14000.0,15200,2021-01-28,27,6.6,0.0302,0.15,15.0
2021-01-01,14000.0,15250,2021-01-28,27,5.35,0.0251,0.15,15.0
2021-01-01,14000.0,15300,2021-01-28,27,4.31,0.0208,0.15,15.0
2021-01-01,14000.0,15350,2021-01-28,27,3.47,0.0171,0.15,15.0
2021-01-01,14000.0,15400,2021-01-28,27,2.77,0.014,0.15,15.0
2021-01-01,14000.0,15450,2021-01-28,27,2.21,0.0114,0.15,15.0
2021-01-01,14000.0,15500,2021-01-28,27,1.75,0.0092,0.15,15.0
2021-01-01,14000.0,15550,2021-01-28,27,1.38,0.0074,0.15,15.0
2021-01-01,14000.0,12500,2021-02-25,55,1626.59,0.984,0.15,15.0
2021-01-01,14000.0,12550,2021-02-25,55,1578.08,0.981,0.15,15.0
2021-01-01,14000.0,12600,2021-02-25,55,1529.74,0.9776,0.15,15.0
2021-01-01,14000.0,12650,2021-02-25,55,1481.61,0.9737,0.15,15.0
2021-01-01,14000.0,12700,2021-02-25,55,1433.7,0.9693,0.15,15.0
2021-01-01,14000.0,12750,2021-02-25,55,1386.05,0.9643,0.15,15.0
2021-01-01,14000.0,12800,2021-02-25,55,1338.69,0.9587,0.15,15.0
2021-01-01,14000.0,12850,2021-02-25,55,1291.66,0.9525,0.15,15.0
2021-01-01,14000.0,12900,2021-02-25,55,1244.98,0.9455,0.15,15.0
2021-01-01,14000.0,12950,2021-02-25,55,1198.71,0.9378,0.15,15.0
2021-01-01,14000.0,13000,2021-02-25,55,1152.87,0.9292,0.15,15.0
2021-01-01,14000.0,13050,2021-02-25,55,1107.52,0.9199,0.15,15.0
2021-01-01,14000.0,13100,2021-02-25,55,1062.69,0.9096,0.15,15.0
2021-01-01,14000.0,13150,2021-02-25,55,1018.44,0.8985,0.15,15.0
2021-01-01,14000.0,13200,2021-02-25,55,974.8,0.8864,0.15,15.0
2021-01-01,14000.0,13250,2021-02-25,55,931.82,0.8735,0.15,15.0
2021-01-01,14000.0,13300,2021-02-25,55,889.55,0.8595,0.15,15.0
2021-01-01,14000.0,13350,2021-02-25,55,848.05,0.8447,0.15,15.0
