entry_date,exit_date,expiry,spot_entry,spot_exit,strike,premium_in,premium_out,pnl_option,pnl_underlying,pnl_net,charges,exit_reason,delta,iv,dte
2021-01-28,2021-02-09,2021-02-25,13832.173585220009,13450.727560832796,14050,164.01,19.74,3606.75,-9536.15,-5975.41,46.01,profit_target,0.407,0.15,28
2021-02-25,2021-03-12,2021-03-25,13008.973302621815,12768.510750631645,13200,159.7,25.58,3353.0,-6011.56,-2709.72,51.16,profit_target,0.4168,0.15,28
2021-03-25,2021-04-13,2021-04-29,12953.06302686039,13389.092263792365,13150,187.83,339.62,-3794.75,10900.73,7047.92,58.06,roll_itm,0.4335,0.15,35
2021-04-29,2021-05-17,2021-05-27,13281.983381381178,13100.371827041403,13500,154.07,20.96,3327.75,-4540.29,-1259.37,46.83,profit_target,0.4009,0.15,28
2021-05-27,2021-06-03,2021-06-24,12801.444371103391,13164.799827282179,13000,152.97,313.08,-4002.75,9083.89,5024.49,56.65,roll_itm,0.4092,0.15,28
2021-06-24,2021-06-28,2021-07-29,13406.074011224622,13796.046079587859,13600,198.51,397.77,-4981.5,9749.3,4708.48,59.32,roll_itm,0.4397,0.15,35
2021-07-29,2021-08-11,2021-08-26,13142.118160270258,13513.25529183542,13350,155.47,281.12,-3141.25,9278.43,6080.99,56.19,roll_itm,0.4063,0.15,28
2021-08-26,2021-09-10,2021-09-30,14059.075377055324,14532.650277849343,14250,213.44,410.28,-4921.0,11839.37,6858.43,59.94,roll_itm,0.4471,0.15,35
2021-09-30,2021-10-22,2021-10-28,14200.431259885261,15012.484770064139,14400,177.92,629.16,-11281.0,20301.34,8957.8,62.54,roll_itm,0.4226,0.15,28
2021-10-28,2021-11-17,2021-11-25,15549.090525408938,15352.314573152704,15750,202.03,24.27,4444.0,-4919.4,-526.57,51.17,profit_target,0.4332,0.15,28
2021-11-25,2021-11-29,2021-12-30,15216.490351246459,15659.324223693955,15400,241.01,476.27,-5881.5,11070.85,5127.54,61.81,roll_itm,0.4599,0.15,35
2021-12-30,2022-01-05,2022-01-27,15832.788621473872,15311.139902375697,16050,200.52,34.13,4159.75,-13041.22,-8934.88,53.41,stop_loss_underlying,0.4258,0.15,28
2022-01-27,2022-02-04,2022-02-24,15063.05358184612,15542.335997255075,15250,198.92,431.48,-5814.0,11982.06,6108.18,59.879999999999995,roll_itm,0.438,0.15,28
2022-02-24,2022-03-08,2022-03-31,15543.263967913348,15912.477209008071,15750,237.83,367.79,-3249.0,9230.33,5921.39,59.94,roll_itm,0.4495,0.15,35
2022-03-31,2022-04-25,2022-04-28,17054.478299567087,16872.503002465048,17250,232.06,5.55,5662.75,-4549.38,1078.23,35.14,profit_target,0.4469,0.15,28
2022-04-28,2022-05-05,2022-05-26,16893.181865755363,16291.251740479378,17100,224.29,30.79,4837.5,-15048.25,-10264.78,54.03,stop_loss_underlying,0.4396,0.15,28
2022-05-26,2022-06-08,2022-06-30,16867.8298966619,17251.23059043824,17050,276.61,407.79,-3279.5,9585.02,6243.84,61.68,roll_itm,0.4706,0.15,35
2022-06-30,2022-07-22,2022-07-28,17941.076793298445,17775.26545073247,18150,242.74,27.2,5388.5,-4145.28,1188.73,54.49,profit_target,0.4452,0.15,28
2022-07-28,2022-08-11,2022-08-25,17724.172433669482,18211.917568261768,17900,253.1,435.71,-4565.25,12193.63,7566.9,61.480000000000004,roll_itm,0.4614,0.15,28
2022-08-25,2022-08-30,2022-09-29,19702.05787347109,18756.20664040662,19900,329.8,41.71,7202.25,-23646.28,-16501.2,57.17,stop_loss_underlying,0.477,0.15,35
2022-09-29,2022-10-07,2022-10-27,18247.359338118815,17535.083535704183,18450,251.12,25.94,5629.5,-17806.9,-12231.45,54.05,stop_loss_underlying,0.4502,0.15,28
2022-10-27,2022-11-01,2022-11-24,17412.56694333182,17784.654859025548,17600,242.2,413.02,-4270.5,9302.2,4970.9,60.8,roll_itm,0.4535,0.15,28
2022-11-24,2022-11-28,2022-12-29,18155.972576258962,18552.30366859962,18350,298.66,495.08,-4910.5,9908.28,4934.04,63.739999999999995,roll_itm,0.4715,0.15,35
2022-12-29,2023-01-09,2023-01-26,17644.177917305657,17162.769174066987,17850,238.58,37.36,5030.5,-12035.22,-7059.25,54.53,profit_target,0.445,0.15,28
2023-01-26,2023-02-13,2023-02-23,16351.574305064325,16116.787910745199,16550,217.84,33.97,4596.75,-5869.66,-1326.81,53.9,profit_target,0.4406,0.15,28
2023-02-23,2023-03-01,2023-03-30,16285.381724264931,16781.33516653758,16500,250.04,500.41,-6259.25,12398.84,6077.14,62.45,roll_itm,0.4505,0.15,35
2023-03-30,2023-04-20,2023-04-27,16775.192505630133,16609.879044361893,17000,214.64,26.01,4715.75,-4132.84,529.81,53.099999999999994,profit_target,0.4287,0.15,28
2023-04-27,2023-05-01,2023-05-25,17059.761503458125,17471.341566486924,17250,234.43,438.88,-5111.25,10289.5,5117.25,61.0,roll_itm,0.4498,0.15,28
2023-05-25,2023-06-15,2023-06-29,18413.64225743071,18034.30957204034,18600,307.61,47.7,6497.75,-9483.32,-3042.21,56.64,profit_target,0.4763,0.15,35
2023-06-29,2023-07-03,2023-07-27,17178.540545268497,17638.03933605497,17400,223.41,452.77,-5734.0,11487.47,5692.55,60.92,roll_itm,0.4335,0.15,28
2023-07-27,2023-07-31,2023-08-31,17544.43598593618,17977.129327331582,17750,280.54,499.72,-5479.5,10817.33,5274.53,63.3,roll_itm,0.4628,0.15,35
2023-08-31,2023-09-15,2023-09-28,17756.22802433147,17301.94733122074,17950,245.83,26.98,5471.25,-11357.02,-5940.33,54.56,profit_target,0.4521,0.15,28
2023-09-28,2023-10-19,2023-10-26,17481.390738503622,17373.871219367436,17700,230.17,41.11,4726.5,-2687.99,1984.16,54.349999999999994,profit_target,0.4371,0.15,28
2023-10-26,2023-11-01,2023-11-30,16917.442461390125,17422.12672803272,17100,277.49,540.41,-6573.0,12617.11,5980.22,63.89,roll_itm,0.4706,0.15,35
2023-11-30,2023-12-06,2023-12-28,16789.79125880854,17297.84706139998,17000,220.96,474.47,-6337.75,12701.4,6302.44,61.21,roll_itm,0.437,0.15,28
2023-12-28,2024-01-08,2024-01-25,17956.365516534366,18396.55370656523,18150,249.61,416.37,-4169.0,11004.7,6774.64,61.06,roll_itm,0.4533,0.15,28
